Zalcalの命令列,オリジナル,不明,ppl
dstore ldc dload dmul dstore,1,1,5360.08
dstore ldc dstore iload ifne,1,1,19641.3
dsub dsub invokestatic d2i iconst3,1,1,78317.3
dsub dsub invokestatic d2l ldc,1,1,42878.2
dsub dsub invokestatic ldc drem,1,1,15733.7
dsub invokestatic d2i iconst3 irem,1,1,19793
dsub invokestatic d2l ldc lrem,1,1,3974.62
dsub invokestatic ldc drem d2l,1,1,1950.36
dup aconstNull invokespecial astore newInsn,1,1,5414.16
dup aload aconstNull invokespecial astore,1,1,6618.08
dup aload aload aload getfield,1,1,15423.1
dup aload aload getfield invokespecial,1,1,2130.7
dup aload getfield invokespecial areturn,1,1,1870.67
dup aload getfield invokespecial putfield,1,1,2503.77
dup aload getfield ldc invokespecial,1,1,4086.22
dup aload invokespecial invokestatic aload,1,1,4471.09
dup aload invokespecial invokevirtual aload,1,1,3036.7
dup aload invokespecial invokevirtual returnInsn,1,1,2281.37
dup aload invokevirtual invokestatic invokespecial,1,1,4524.71
dup iconst0 aload aastore invokevirtual,1,1,4105.04
dup iconst0 aload invokevirtual aastore,1,1,5494.14
dup iconst3 invokespecial putfield aload,1,1,13717.7
dup invokespecial astore aload aload,1,1,2800.73
dup invokespecial astore aload iconst1,1,1,17633.8
dup invokespecial astore aload newInsn,1,1,1056.46
dup invokespecial astore iconst0 i2l,,1,117995
dup invokespecial dupX1 putfield aload,1,1,28989.6
dup invokespecial invokespecial putfield newInsn,1,1,3197.22
dup invokespecial invokevirtual aload newInsn,1,1,3755.28
dup invokespecial invokevirtual newInsn dup,1,1,5845.41
dup invokespecial putfield aload iconst0,1,1,15559.2
dup invokespecial putfield aload newInsn,1,1,2843.19
dup invokespecial putstatic getstatic iconst1,1,1,38446.9
dup ldc invokespecial aload getfield,1,1,3290.04
dup ldc invokestatic invokespecial putfield,1,1,6701.76
dup newInsn dup invokespecial invokespecial,1,1,1546.95
dup sipush bipush bipush bipush,1,1,59721.6
dupX1 putfield aload invokevirtual aload,1,1,2739.57
getfield aload getfield aload invokevirtual,1,1,1576.78
getfield aload getfield invokevirtual invokevirtual,1,1,1624.45
getfield aload getfield invokevirtual returnInsn,1,1,1228.89
getfield aload invokeinterface areturn aconstNull,1,1,5543.55
getfield aload invokevirtual aload aload,1,1,3152.4
getfield aload invokevirtual aload iconst1,1,1,17911.5
getfield aload invokevirtual aload ldc,1,1,19400
getfield aload invokevirtual aload newInsn,1,1,3733.13
getfield aload invokevirtual astore aload,1,1,3412.7
getfield aload invokevirtual invokevirtual returnInsn,1,1,2047.08
getfield arraylength anewarray astore iconst0,1,1,35536.4
getfield arraylength ifIcmplt newInsn dup,1,1,12555.8
getfield astore ldc astore newInsn,1,1,10010.9
getfield iconst0 invokevirtual newInsn dup,1,1,8639.38
getfield iconst1 aload invokestatic astore,1,1,12114
getfield ifnull aload getfield aload,1,1,3115.48
getfield ifnull aload getfield invokevirtual,1,1,2653.36
getfield iload aaload astore aload,1,1,3641.34
getfield invokespecial areturn aload getfield,1,1,4231.53
getfield invokespecial ldc ldc invokevirtual,1,1,29451.5
getfield invokevirtual aload getfield aload,1,1,4524.1
getfield invokevirtual astore newInsn dup,1,1,4698.12
getfield invokevirtual ldc invokestatic astore,1,1,12511
getfield invokevirtual ldc invokevirtual ifne,1,1,8155.21
getfield invokevirtual ldc invokevirtual invokevirtual,1,1,5499.08
getfield invokevirtual ldc ldiv lstore,1,1,7624.92
getfield invokevirtual lsub l2d ldc,1,1,13579.7
getfield ldc invokespecial astore aload,1,1,9903.8
getfield ldc invokestatic invokevirtual aload,1,1,3846.29
getfield newInsn dup aload aload,1,1,12486.6
getfield newInsn dup aload invokespecial,1,1,4310
getfield sipush bipush bipush bipush,1,1,54610.6
getstatic ldc invokevirtual aconstNull areturn,1,1,2723.73
gotoInsn aload astore aload aload,1,1,4968.56
gotoInsn aload bipush lload bipush,,1,46713.7
gotoInsn aload getfield iload aaload,1,1,5240.15
gotoInsn aload iload newInsn dup,1,1,6442.88
gotoInsn aload invokeinterface checkcast astore,1,1,3998.15
gotoInsn astore aload invokevirtual aload,1,1,1548.26
gotoInsn astore aload invokevirtual gotoInsn,1,1,5048.73
gotoInsn lload lload lcmp ifge,1,1,3595.95
gotoInsn newInsn dup aload invokestatic,1,1,4067.23
iadd i2l bipush lshl lload,,1,45187.6
iconst0 aload aastore invokevirtual pop,1,1,6069.73
iconst0 aload invokevirtual aastore invokevirtual,1,1,6925.13
iconst0 i2l lload dup2X2 lxor,,1,793688
iconst0 iconst2 invokevirtual invokestatic i2l,,1,7146.84
iconst0 invokespecial putfield aload aconstNull,1,1,34418.4
iconst0 invokevirtual aload aload invokevirtual,1,1,3328.84
iconst0 invokevirtual aload getfield invokevirtual,1,1,1977.31
iconst0 invokevirtual newInsn dup invokespecial,1,1,18801.4
iconst0 istore aload iconst0 iconst2,1,1,44251.1
iconst0 istore gotoInsn aload getfield,1,1,3530.13
iconst0 putfield aload iconst1 putfield,1,1,3969.55
iconst0 putfield aload iconst2 putfield,1,1,3288.02
iconst0 putfield aload iconst3 putfield,1,1,3619.67
iconst0 putfield aload iconst4 putfield,1,1,2817.17
iconst0 putfield aload lconst0 putfield,1,1,2194.41
iconst0 putfield aload ldc invokevirtual,1,1,6697.07
iconst1 aload invokestatic astore aload,1,1,10031.3
iconst1 iadd i2l bipush lshl,,1,26015.8
iconst1 putfield aload dconst1 putfield,1,1,3150.55
iconst1 putfield aload iconst3 putfield,1,1,3879.78
iconst2 invokevirtual invokestatic i2l bipush,,1,11431
iconst2 invokevirtual invokestatic i2l lload,,1,32665
iconst2 invokevirtual invokestatic istore gotoInsn,1,1,12848.4
iconst3 iconst2 invokevirtual invokestatic i2l,,1,22209.2
iconst3 invokespecial putfield aload newInsn,1,1,6853.55
iconst3 invokevirtual aload getfield newInsn,1,1,3156.33
iconst3 irem ireturn ldc dload,1,1,35090.5
iconst3 putfield aload aload getfield,1,1,9106.84
iconst3 putfield aload aload newInsn,1,1,7532.95
iconst4 putfield aload iconst2 putfield,1,1,4262.64
iconst5 invokevirtual astore gotoInsn aload,1,1,11315.3
iconstM1 aconstNull aconstNull aload aconstNull,1,1,51246
iconstM1 ifIcmpne aload invokevirtual i2l,,1,10087.9
ifeq aload astore gotoInsn aload,1,1,11815.8
ifeq aload getfield invokevirtual returnInsn,1,1,1682.03
ifeq aload iconst5 invokevirtual astore,1,1,10191.4
ifeq aload iload newInsn dup,1,1,7912.53
ifeq newInsn dup aload getfield,1,1,5210.22
ifeq newInsn dup aload invokevirtual,1,1,4517.35
ifge newInsn dup aload invokestatic,1,1,7202.01
ifIcmple aload aload lload bipush,,1,48704.2
ifIcmplt aload aload invokeinterface anewarray,1,1,4490.71
ifIcmplt newInsn dup aload aconstNull,1,1,29162.8
ifIcmpne aload invokevirtual i2l lload,,1,19686
ifle newInsn dup aload invokestatic,1,1,5328.54
ifne aload areturn pop aload,1,1,11704
ifne dload invokestatic d2i bipush,1,1,36634
ifne dload invokestatic d2i ireturn,1,1,15455.2
ifne getstatic ldc invokevirtual aconstNull,1,1,5990.54
ifne ldc dload ldc ddiv,1,1,8430.26
ifnonnull aconstNull areturn newInsn dup,1,1,8470.45
ifnonnull ldc astore aload aload,1,1,8018.02
ifnonnull newInsn dup newInsn dup,1,1,3414.67
ifnull aload getfield aload invokeinterface,1,1,2291.73
ifnull aload getfield invokevirtual ldc,1,1,5165.85
ifnull newInsn dup aconstNull invokespecial,1,1,8245.64
iinc iload aload getfield arraylength,1,1,7321.75
iload aaload astore aload ldc,1,1,13257.8
iload aload getfield arraylength ifIcmplt,1,1,729.739
iload ifne ldc dload ldc,1,1,68613.9
iload invokevirtual aload bipush lload,,1,33169.1
invokeinterface anewarray invokeinterface checkcast areturn,1,1,2954.43
invokeinterface checkcast astore aload invokevirtual,1,1,5393.43
invokeinterface ifne getstatic ldc invokevirtual,1,1,15812.4
invokeinterface pop lload l2i iconst1,,1,22146.6
invokespecial aastore gotoInsn aload iload,1,1,16288.6
invokespecial aastore iinc iload aload,1,1,19292.3
invokespecial aload getfield invokevirtual ldc,1,1,3063.47
invokespecial aload invokevirtual invokevirtual astore,1,1,5252.03
invokespecial aload invokevirtual invokevirtual invokespecial,1,1,4486.98
invokespecial aload invokevirtual ldc invokevirtual,1,1,3413.71
invokespecial aload newInsn dup bipush,1,1,13875
invokespecial aload newInsn dup sipush,1,1,19492.3
invokespecial areturn aload getfield ifnull,1,1,4303.66
invokespecial astore aload aload invokevirtual,1,1,3458.48
invokespecial astore aload getfield aload,1,1,4321.53
invokespecial astore aload iconst1 putfield,1,1,3514.57
invokespecial astore aload invokevirtual astore,1,1,6594.56
invokespecial astore aload invokevirtual ldc,1,1,8596.29
invokespecial astore aload newInsn dup,1,1,3920.31
invokespecial astore iconst0 i2l bipush,,1,540850
invokespecial astore invokestatic aload invokevirtual,1,1,7118.6
invokespecial astore newInsn dup aload,1,1,5321.21
invokespecial dupX1 putfield aload invokevirtual,1,1,10515.1
invokespecial invokespecial putfield newInsn dup,1,1,14611
invokespecial invokestatic aload getfield arraylength,1,1,10899.6
invokespecial invokevirtual aload getfield newInsn,1,1,1495.07
invokespecial invokevirtual aload newInsn dup,1,1,3386.69
invokespecial invokevirtual newInsn dup invokespecial,1,1,13199.2
invokespecial ldc ldc invokevirtual aload,1,1,11883.7
invokespecial putfield aload getfield aload,1,1,4187.27
invokespecial putfield aload iconst0 putfield,1,1,8462.94
invokespecial putfield newInsn dup aload,1,1,10332.5
invokespecial putstatic getstatic iconst1 invokevirtual,1,1,12928.3
invokestatic aload getfield arraylength anewarray,1,1,4500.91
invokestatic aload invokevirtual aload getfield,1,1,2892.23
invokestatic astore aload getfield aload,1,1,5317.15
invokestatic astore aload ldc iconst1,1,1,10157.5
invokestatic astore invokestatic invokevirtual astore,1,1,15781.1
invokestatic checkcast putfield aload newInsn,1,1,3702.79
invokestatic d2i bipush irem ireturn,1,1,6519.57
invokestatic d2i ireturn ldc dload,1,1,141675
invokestatic d2l lreturn ldc dload,1,1,101266
invokestatic i2l bipush lshl lload,,1,13533.1
invokestatic i2l lload dup2X2 lxor,,1,773839
invokestatic invokespecial putfield aload getfield,1,1,8265.32
invokestatic invokestatic checkcast putfield aload,1,1,23918
invokestatic invokevirtual aload getfield sipush,1,1,16813.7
invokestatic invokevirtual astore newInsn dup,1,1,5564.27
invokestatic invokevirtual ldc invokevirtual astore,1,1,15811.6
invokestatic istore gotoInsn astore aload,1,1,17169.3
invokestatic putfield aload getfield ifnull,1,1,4163.87
invokevirtual aastore invokevirtual astore aload,1,1,9423.73
invokevirtual aload aload invokevirtual returnInsn,1,1,1332.06
invokevirtual aload aload ldc invokevirtual,1,1,3645.49
invokevirtual aload bipush iload invokevirtual,3,1,5733.29
invokevirtual aload bipush lload bipush,,1,22305.3
invokevirtual aload bipush lload l2i,,1,15907.7
invokevirtual aload getfield iconst1 aload,1,1,6472.32
invokevirtual aload getfield invokevirtual astore,1,1,5496.3
invokevirtual aload getfield invokevirtual checkcast,1,1,3520.31
invokevirtual aload getfield invokevirtual lsub,1,1,2140.78
invokevirtual aload getfield sipush bipush,1,1,13365
invokevirtual aload iconst0 invokevirtual aload,1,1,2755.12
invokevirtual aload iconst3 invokevirtual aload,1,1,4044.42
invokevirtual aload invokevirtual aload iconst0,1,1,12494.2
invokevirtual aload ldc putfield aload,1,1,9200.75
invokevirtual aload newInsn dup newInsn,1,1,1680.32
invokevirtual aload sipush sipush invokevirtual,1,1,18918.5
invokevirtual astore aload aconstNull iconst1,1,1,15844.2
invokevirtual astore aload aload ldc,1,1,25692.9
invokevirtual astore aload ifnonnull ldc,1,1,8108.54
invokevirtual astore aload ifnonnull newInsn,1,1,2679.32
invokevirtual astore aload ifnull newInsn,1,1,1404.59
invokevirtual astore aload ldc invokevirtual,1,1,5348.24
invokevirtual astore aload newInsn dup,1,1,4388.37
invokevirtual astore gotoInsn aload astore,1,1,10435.8
invokevirtual astore gotoInsn aload invokeinterface,1,1,3479
invokevirtual astore gotoInsn aload invokevirtual,1,1,7073.32
invokevirtual astore gotoInsn lload lload,1,1,20428.6
invokevirtual astore gotoInsn newInsn dup,1,1,3256.51
invokevirtual astore iconst0 i2l bipush,,1,526499
invokevirtual astore newInsn dup invokespecial,1,1,8076.73
invokevirtual checkcast invokevirtual astore aload,1,1,5249.94
invokevirtual checkcast invokevirtual astore iconst0,1,1,15079.4
invokevirtual gotoInsn astore aload invokevirtual,1,1,7975.22
invokevirtual ifeq aload astore gotoInsn,1,1,6648
invokevirtual ifeq aload getfield invokevirtual,1,1,2195.04
invokevirtual ifeq aload iconst5 invokevirtual,1,1,6860.45
invokevirtual ifeq aload iload newInsn,1,1,1691.06
invokevirtual ifIcmplt aload aload invokeinterface,1,1,3633.23
invokevirtual ifne aload areturn pop,1,1,8620.93
invokevirtual invokeinterface pop lload l2i,,1,40507.8
invokevirtual invokespecial aastore gotoInsn aload,1,1,10292.8
invokevirtual invokespecial aastore iinc iload,1,1,17428.9
invokevirtual invokespecial athrow aload areturn,1,1,1687.75
invokevirtual invokestatic i2l bipush lshl,,1,12798.7
invokevirtual invokestatic i2l lload dup2X2,,1,86707.1
invokevirtual invokestatic invokespecial aload invokevirtual,1,1,8752.18
invokevirtual invokestatic istore gotoInsn astore,1,1,9443.19
invokevirtual invokevirtual astore gotoInsn aload,1,1,5520.79
invokevirtual invokevirtual astore gotoInsn lload,1,1,10939.9
invokevirtual invokevirtual astore gotoInsn newInsn,1,1,2207.78
invokevirtual invokevirtual invokespecial aastore gotoInsn,1,1,9670.4
invokevirtual invokevirtual invokespecial aastore iinc,1,1,8902.29
invokevirtual invokevirtual invokespecial athrow aload,1,1,3226.04
invokevirtual ldc invokestatic astore aload,1,1,7467.18
invokevirtual ldc invokevirtual astore gotoInsn,1,1,8212.94
invokevirtual ldc invokevirtual ifeq aload,1,1,4929.63
invokevirtual ldc invokevirtual ifeq newInsn,1,1,3281.89
invokevirtual ldc invokevirtual ifne aload,1,1,10960.1
invokevirtual ldc ldiv lstore aload,1,1,10442.6
invokevirtual ldc ldiv lstore ldc,1,1,13206.5
invokevirtual lsub l2d ldc ddiv,1,1,3633.42
invokevirtual pop aload ldc invokestatic,1,1,14338.5
invokevirtual putfield aload ldc invokevirtual,1,1,6639.02
irem ireturn ldc dload dsub,1,1,8090.83
irem ireturn ldc dload ldc,1,1,86070.5
ireturn ldc dload ldc dsub,1,1,67419.6
istore aload iconst0 iconst2 invokevirtual,1,1,17980.9
istore gotoInsn aload getfield iload,1,1,5540.52
istore gotoInsn astore aload invokevirtual,1,1,13702.7
l2i aload invokevirtual ifIcmplt aload,,1,90428.6
l2i iconst1 iadd i2l bipush,,1,45336.2
l2i iconstM1 ifIcmpne aload invokevirtual,,1,30318.7
l2i ifIcmple aload aload lload,,1,249437
l2i invokevirtual aload bipush lload,,1,43942
l2i invokevirtual aload getfield aload,,1,12883.2
l2i invokevirtual i2l lload dup2X2,,1,114484
l2i invokevirtual invokeinterface pop lload,,1,90531.3
l2i lload bipush lshr l2i,,1,8439.13
l2i lload l2i invokevirtual invokeinterface,,1,12171
land lxor lstore aload bipush,,1,249142
land lxor lstore aload iconst3,,1,378991
land lxor lstore gotoInsn aload,,1,90245.7
land lxor lstore iconst0 i2l,,1,170663
land lxor lstore iconst0 istore,,1,57562.9
land lxor lstore lload bipush,,1,61654.1
lcmp ifge newInsn dup aload,1,1,18165.9
lcmp ifle newInsn dup aload,1,1,17396.5
lconst0 putfield aload getfield ldc,1,1,17763.7
lconst1 lstore aload getfield astore,,1,8487.33
lconst1 lstore aload getfield invokevirtual,,1,10850.9
lconst1 lstore aload ifnonnull aconstNull,,1,138969
lconst1 lstore newInsn dup aload,,1,24597.8
ldc aload invokevirtual ifeq newInsn,1,1,3726.24
ldc astore aload aload invokestatic,1,1,6890.79
ldc astore lload lload lcmp,1,1,886.604
ldc astore newInsn dup aload,1,1,8215.83
ldc dadd invokestatic d2i iconst3,1,1,29763.4
ldc dadd invokestatic d2l ldc,1,1,26907.6
ldc dadd invokestatic ldc drem,1,1,41456
ldc dadd ldc ddiv dstore,1,1,8412.41
ldc ddiv dadd invokestatic d2l,1,1,23461.3
ldc ddiv dstore ldc dload,1,1,13846.4
ldc ddiv dstore ldc dstore,1,1,4193.34
ldc ddiv dsub invokestatic d2l,1,1,19577.1
ldc ddiv ldc dadd ldc,1,1,14507.1
ldc ddiv ldc drem dstore,1,1,14342.4
ldc dload dmul dstore dload,1,1,15528.7
ldc dload ldc ddiv dadd,1,1,6407.18
ldc dload ldc ddiv dsub,1,1,7154.66
ldc dstore iload ifne ldc,1,1,20456
ldc dsub dsub invokestatic d2i,1,1,33485
ldc dsub dsub invokestatic d2l,1,1,15185.6
ldc dsub dsub invokestatic ldc,1,1,56803.6
ldc iconst1 anewarray dup iconst0,1,1,20208.7
ldc iconstM1 aconstNull aconstNull aload,1,1,17838.4
ldc invokespecial aload getfield invokevirtual,1,1,1620.99
ldc invokespecial aload invokevirtual invokevirtual,1,1,2737.91
ldc invokespecial aload invokevirtual ldc,1,1,8323.35
ldc invokespecial astore aload getfield,1,1,5247.91
ldc invokestatic astore aload getfield,1,1,5359.95
ldc invokestatic invokespecial putfield aload,1,1,11057.8
ldc invokestatic invokestatic checkcast putfield,1,1,16401.9
ldc invokestatic invokevirtual aload getfield,1,1,3291.35
ldc invokevirtual aload iconst3 invokevirtual,1,1,10720.2
ldc invokevirtual aload invokevirtual aload,1,1,1581.3
ldc invokevirtual aload sipush sipush,1,1,83187.1
ldc invokevirtual astore aload ifnonnull,1,1,2807.63
ldc invokevirtual astore gotoInsn aload,1,1,8034.53
ldc invokevirtual ifeq aload astore,1,1,12354.5
ldc invokevirtual ifeq aload getfield,1,1,3361.88
ldc invokevirtual ifeq aload iconst5,1,1,23571.6
ldc invokevirtual ifeq aload iload,1,1,22422.9
ldc invokevirtual ifeq newInsn dup,1,1,4765.05
ldc invokevirtual ifne aload areturn,1,1,4363.07
ldc invokevirtual invokevirtual invokespecial aastore,1,1,7477.91
ldc invokevirtual invokevirtual invokespecial athrow,1,1,4239.02
ldc invokevirtual pop aload ldc,1,1,6530.12
ldc invokevirtual putfield aload ldc,1,1,29473.9
ldc ldc iconstM1 aconstNull aconstNull,1,1,20479.6
ldc ldc invokevirtual aload sipush,1,1,55198.2
ldc ldiv lstore aload getfield,1,1,8741.72
ldc ldiv lstore ldc astore,1,1,11873.6
ldc putfield aload aload getfield,1,1,5736.22
ldc putfield aload dconst1 putfield,1,1,3872.14
ldc putfield aload iconst0 putfield,1,1,9387.95
ldc putfield aload iconst2 putfield,1,1,4599.99
ldiv lstore aload getfield invokevirtual,1,1,5656.98
ldiv lstore ldc astore lload,1,1,15973.1
lload bipush lshr l2i aload,,1,9129.03
lload bipush lshr l2i ifIcmple,,1,26986.5
lload bipush lshr l2i lload,,1,5540.2
lload l2i iconst1 iadd i2l,,1,31543
lload l2i iconstM1 ifIcmpne aload,,1,44248.4
lload l2i invokevirtual aload getfield,,1,6498.53
lload l2i invokevirtual invokeinterface pop,,1,11955.4
lload l2i lload bipush lshr,,1,4916.6
lload lcmp ifge newInsn dup,1,1,21125.3
lload lcmp ifle newInsn dup,1,1,17972.7
lload lload lcmp ifge newInsn,1,1,1728.08
lload lload lcmp ifle newInsn,1,1,2466.74
lrem lconst1 ladd lreturn ldc,1,1,25218.5
lreturn ldc dload ldc ddiv,1,1,14066.6
lshl land lxor lstore aload,,1,163250
lshl land lxor lstore gotoInsn,,1,135596
lshl land lxor lstore iconst0,,1,92548.7
lshl land lxor lstore lload,,1,143028
lshr l2i aload invokevirtual ifIcmplt,,1,103496
lshr l2i ifIcmple aload aload,,1,206600
lshr l2i invokevirtual aload bipush,,1,161965
lshr l2i invokevirtual i2l lload,,1,82959.6
lshr l2i lload l2i invokevirtual,,1,19851.1
lstore aload bipush iconst2 invokevirtual,,1,47428.8
lstore aload getfield astore ldc,,1,16595.2
lstore aload getfield invokevirtual checkcast,,1,7045.09
lstore aload getfield invokevirtual ldc,1,1,9318.74
lstore aload iconst3 iconst2 invokevirtual,,1,71882
lstore aload ifnonnull aconstNull areturn,,1,5074.7
lstore gotoInsn aload bipush lload,,1,43172.9
lstore iconst0 i2l lload dup2X2,,1,340974
lstore iconst0 istore aload iconst0,,1,33412.4
lstore ldc astore lload lload,1,1,25341.7
lstore lload bipush lshr l2i,,1,6061.49
lstore lload l2i iconstM1 ifIcmpne,,1,50471
lstore lload l2i lload bipush,,1,9480.1
lstore newInsn dup aload invokespecial,,1,10464
lsub l2d ldc ddiv dreturn,1,1,9800.79
lushr land lxor lstore aload,,1,191921
lushr land lxor lstore iconst0,,1,108803
lxor lstore aload bipush iconst2,,1,240354
lxor lstore aload iconst3 iconst2,,1,362756
lxor lstore gotoInsn aload bipush,,1,182686
lxor lstore iconst0 i2l lload,,1,124181
lxor lstore iconst0 istore aload,,1,27541.2
lxor lstore lload bipush lshr,,1,6962.3
lxor lstore lload l2i iconstM1,,1,68519.4
lxor lstore lload l2i lload,,1,12520
newInsn dup aconstNull invokespecial astore,1,1,6082.61
newInsn dup aload aconstNull invokespecial,1,1,7678.76
newInsn dup aload aload aload,1,1,16004.3
newInsn dup aload aload getfield,1,1,7424.08
newInsn dup aload getfield ldc,1,1,6868.39
newInsn dup aload invokespecial invokestatic,1,1,5281.73
newInsn dup aload invokevirtual invokestatic,1,1,9526.6
newInsn dup iconst3 invokespecial putfield,1,1,3788.92
newInsn dup invokespecial astore iconst0,1,1,10666.6
newInsn dup invokespecial dupX1 putfield,1,1,16098.8
newInsn dup invokespecial invokespecial putfield,1,1,6823.2
newInsn dup invokespecial invokevirtual aload,1,1,3023.74
newInsn dup invokespecial invokevirtual newInsn,1,1,1097.97
newInsn dup invokespecial putstatic getstatic,1,1,9148.39
newInsn dup ldc invokestatic invokespecial,1,1,8893.63
newInsn dup newInsn dup invokespecial,1,1,9506.46
newInsn dup sipush bipush bipush,1,1,54672
pop aload invokeinterface ifne getstatic,1,1,10562.4
pop aload ldc invokestatic invokestatic,1,1,19406.9
pop lload l2i iconst1 iadd,,1,12046.3
putfield aload aload newInsn dup,1,1,3202.82
putfield aload aload putfield aload,1,1,3295.52
putfield aload aload putfield returnInsn,1,1,2284.81
putfield aload getfield aload getfield,1,1,1896.11
putfield aload getfield ifnull aload,1,1,3757.3
putfield aload getfield ldc invokestatic,1,1,10215.6
putfield aload getfield ldc invokevirtual,1,1,3333.59
putfield aload iconst1 putfield aload,1,1,3727.9
putfield aload iconst4 putfield aload,1,1,6494.11
putfield aload invokespecial aload aconstNull,1,1,16753.7
putfield aload invokevirtual aload iconst1,1,1,22927
putfield aload ldc invokevirtual aload,1,1,3370.68
putfield aload ldc invokevirtual astore,1,1,10274.8
putfield aload newInsn dup aload,1,1,6870.1
putfield aload newInsn dup iconst3,1,1,30328.7
putfield newInsn dup aload getfield,1,1,5588.25
putstatic getstatic iconst1 invokevirtual returnInsn,1,1,5135.11
sipush invokevirtual aload newInsn dup,1,1,6642.64
sipush sipush invokevirtual aload newInsn,1,1,3041.39
<code> <code> <code> <code> getstatic,,,86.8078
<code> <code> <code> <code> iconst3,,,125.135
<code> <code> <code> aload dup,,,4551.95
<code> <code> <code> aload ifnonnull,1,,2123.03
<code> <code> <code> getstatic ldc,,,3142.19
<code> <code> <code> iconst3 dup,,,10245.1
<code> <code> <code> iconst3 iconst5,,,7736.58
<code> <code> aload aload dup,,,16931.5
<code> <code> aload aload dupX1,,,4639.36
<code> <code> aload dup aload,,,15833
<code> <code> aload dup dupX1,,,81160.7
<code> <code> aload dup getfield,,,2421.48
<code> <code> aload dup newInsn,,,30158
<code> <code> aload getfield astore,1,,1869.67
<code> <code> aload ifnonnull aconstNull,1,,7833.77
<code> <code> aload invokevirtual ldc,,,2948.77
<code> <code> getstatic ldc invokestatic,,,7714.44
<code> <code> getstatic ldc invokevirtual,,,7004.91
<code> <code> iconst3 dup ishl,,,235124
<code> <code> iconst3 iconst5 ixor,,,73625.4
<code> <code> ldc aload dup,,,9694.41
<code> aload aload dup dupX2,,,144446
<code> aload aload dupX1 aload,,,42376
<code> aload aload dupX1 dupX2,,,108828
<code> aload aload dupX1 invokespecial,,,38286.2
<code> aload dup aload putfield,,,135877
<code> aload dup dupX1 dup2,,,1.85E+06
<code> aload dup getfield invokevirtual,,,2248.55
<code> aload dup newInsn dup,,,58807
<code> aload getfield astore ldc,1,,5409.8
<code> aload getfield invokevirtual checkcast,1,,1550.74
<code> aload ifnonnull aconstNull areturn,1,,577.304
<code> aload invokevirtual ldc invokestatic,,,6041.71
<code> getstatic ldc invokestatic invokevirtual,,,6272.49
<code> getstatic ldc invokevirtual newInsn,,,2013.22
<code> iconst3 dup ishl iconst2,,,2.03E+06
<code> iconst3 iconst5 ixor iconst4,,,590783
<code> invokestatic invokevirtual ldc invokestatic,,,13126.5
<code> ldc aload dup dupX2,,,82710.3
<code> newInsn dup aload invokespecial,1,,2292.66
aaload dup astore ldc invokevirtual,,,24201.4
aastore gotoInsn iload newInsn dup,,,69264.7
aastore iload iconst1 isub istore,,,10182.5
aastore invokevirtual aconstNull iconst1 anewarray,,,4632.8
aconstNull aconstNull astore aconstNull astore,,,36389.5
aconstNull aconstNull astore gotoInsn pop,,,19610.7
aconstNull aconstNull astore gotoInsn returnInsn,,,8850.76
aconstNull aload dup dupX2 aload,,,978861
aconstNull aload dup dupX2 invokespecial,,,1.22E+06
aconstNull aload dupX1 aconstNull dup,,,6.05E+06
aconstNull astore aconstNull astore gotoInsn,,,16823.3
aconstNull astore gotoInsn astore aload,,,12214.6
aconstNull astore gotoInsn dload ldc,,,61168.1
aconstNull astore gotoInsn iinc iload,,,25764.3
aconstNull astore gotoInsn ireturn ldc,,,116729
aconstNull astore gotoInsn istore newInsn,,,380346
aconstNull astore gotoInsn ldc dload,,,130342
aconstNull astore gotoInsn ldc iconstM1,,,129971
aconstNull astore gotoInsn pop aload,,,8996.99
aconstNull dup aload dup dupX2,,,788609
aconstNull dup aload dupX1 aconstNull,,,3.31E+06
aconstNull dup aload dupX1 invokespecial,,,1.74E+06
aconstNull dupX1 dupX2 aconstNull invokevirtual,,,4.52E+06
aload aconstNull aload dup dupX2,,,612473
aload aconstNull dupX1 dupX2 aconstNull,,,935213
aload aload dup dupX2 aload,,,762596
aload aload dup dupX2 lconst0,,,1.72E+06
aload aload dupX1 aload aconstNull,,,949670
aload aload dupX1 aload invokespecial,,,194271
aload aload dupX1 aload putfield,,,602810
aload aload dupX1 dupX2 aload,,,1.76E+06
aload aload dupX1 dupX2 iconst2,,,3.01E+06
aload aload dupX1 invokespecial putfield,,,437789
aload aload dupX2 ldc invokevirtual,,,360045
aload aload iconst3 aload dupX1,,,218302
aload aload iload dupX1 invokevirtual,,,12369.7
aload aload iload iinc dupX1,,,153762
aload aload iload iload invokevirtual,1,,3761.07
aload aload invokevirtual getfield invokevirtual,,,4148.92
aload aload invokevirtual gotoInsn astore,,,6656.63
aload aload invokevirtual ldc ldiv,,,3011.15
aload aload ldc iconst1 ifne,,,79886.8
aload areturn iconst1 ifne pop,,,92804.4
aload astore aload gotoInsn aload,,,23450.6
aload bipush aload dupX1 bipush,,,487314
aload bipush iload invokevirtual dup,,,20412
aload bipush iload invokevirtual istore,1,,8732.14
aload dup aload dupX2 aload,,,380815
aload dup aload invokestatic putfield,,,253088
aload dup aload ldc invokestatic,,,195600
aload dup aload putfield invokespecial,,,1.33E+06
aload dup dup2 invokespecial newInsn,,,1.55E+06
aload dup dupX1 dup2 dup2,,,2.12E+07
aload dup dupX1 dup2 newInsn,,,1.39E+07
aload dup dupX1 getfield invokespecial,,,1.48E+06
aload dup dupX1 iconst0 iconst2,,,6.68E+06
